Date,Open,High,Low,Close,Volume
1/10/2023 16:00:00,4.91,5.07,4.82,5.07,404104
1/11/2023 16:00:00,5.04,5.33,4.98,5.26,724928
1/12/2023 16:00:00,5.3,5.4,5.13,5.4,428752
1/13/2023 16:00:00,5.37,5.44,5.25,5.25,398548
1/17/2023 16:00:00,5.35,5.43,5.28,5.37,364952
1/18/2023 16:00:00,5.31,5.45,5.24,5.28,447527
1/19/2023 16:00:00,5.19,5.19,4.98,5.03,408381
1/20/2023 16:00:00,5.03,5.23,4.99,5.23,312547
1/23/2023 16:00:00,5.25,5.47,5.21,5.45,417591
1/24/2023 16:00:00,5.55,5.6,5.4,5.4,262541
1/25/2023 16:00:00,5.31,5.31,5.15,5.21,318514
1/26/2023 16:00:00,5.27,5.31,5.08,5.15,376017
1/27/2023 16:00:00,5.1,5.24,5.08,5.16,249016
1/30/2023 16:00:00,5.03,5.09,4.85,4.95,410439
1/31/2023 16:00:00,4.87,5.06,4.87,5.06,464051
2/1/2023 16:00:00,5.09,5.27,5.04,5.19,466552
2/2/2023 16:00:00,5.29,5.43,5.23,5.35,642941
2/3/2023 16:00:00,5.28,5.39,5.16,5.17,378482
2/6/2023 16:00:00,5.1,5.17,5.01,5.08,327534
2/7/2023 16:00:00,5.11,5.11,4.89,5.01,369427
2/8/2023 16:00:00,5.05,5.05,4.92,4.98,326300
2/9/2023 16:00:00,5.04,5.06,4.68,4.69,494172
2/10/2023 16:00:00,4.67,4.8,4.54,4.76,339663
2/13/2023 16:00:00,4.76,4.88,4.67,4.86,284343
2/14/2023 16:00:00,4.78,4.91,4.72,4.83,310514
2/15/2023 16:00:00,4.82,4.98,4.75,4.98,300382
2/16/2023 16:00:00,4.85,4.96,4.69,4.7,262232
2/17/2023 16:00:00,4.7,4.71,4.62,4.71,314413
2/21/2023 16:00:00,4.68,4.68,4.51,4.52,301359
2/22/2023 16:00:00,4.55,4.59,4.45,4.55,302652
2/23/2023 16:00:00,4.6,4.69,4.49,4.61,340768
2/24/2023 16:00:00,4.51,4.52,4.34,4.45,405026
2/27/2023 16:00:00,4.49,4.62,4.49,4.56,307714
2/28/2023 16:00:00,4.51,4.59,4.5,4.53,269774
3/1/2023 16:00:00,4.57,4.7,4.57,4.61,303687
3/2/2023 16:00:00,4.53,4.55,4.43,4.49,335120
3/3/2023 16:00:00,4.52,4.6,4.48,4.55,272794
3/6/2023 16:00:00,4.55,4.6,4.39,4.44,418294
3/7/2023 16:00:00,4.43,4.47,4.29,4.33,325297
3/8/2023 16:00:00,4.33,4.41,4.26,4.39,401735
3/9/2023 16:00:00,4.41,4.51,4.25,4.28,420564
3/10/2023 16:00:00,4.28,4.35,4.13,4.24,573254
3/13/2023 16:00:00,4.19,4.33,4.07,4.23,355470
3/14/2023 16:00:00,4.25,4.4,4.23,4.37,372839
3/15/2023 16:00:00,4.17,4.23,4.03,4.2,563388
3/16/2023 16:00:00,4.1,4.28,4.01,4.26,477502
3/17/2023 16:00:00,4.23,4.23,4.03,4.16,1247250
3/20/2023 16:00:00,4.24,4.27,4.06,4.06,337182
3/21/2023 16:00:00,4.18,4.28,4.12,4.24,270536
3/22/2023 16:00:00,4.19,4.25,4.06,4.08,260653
3/23/2023 16:00:00,4.11,4.28,4.09,4.13,273764
3/24/2023 16:00:00,4.08,4.11,4.02,4.08,296129
3/27/2023 16:00:00,4.1,4.13,4,4.04,241099
3/28/2023 16:00:00,4.04,4.2,4.03,4.18,405581
3/29/2023 16:00:00,3.98,4.14,3.68,4.09,652566
3/30/2023 16:00:00,4.12,4.38,4.12,4.31,390846
3/31/2023 16:00:00,4.3,4.45,4.26,4.45,517980
4/3/2023 16:00:00,4.54,4.54,4.2,4.28,274487
4/4/2023 16:00:00,4.29,4.29,4.16,4.21,178734
4/5/2023 16:00:00,4.17,4.19,4.08,4.15,175733
4/6/2023 16:00:00,4.14,4.14,4.07,4.11,124554
4/10/2023 16:00:00,4.07,4.21,4.07,4.19,126227
4/11/2023 16:00:00,4.15,4.31,4.15,4.27,168168
4/12/2023 16:00:00,4.3,4.34,4.18,4.26,305440
4/13/2023 16:00:00,4.26,4.36,4.26,4.28,155012
