Model,Dataset,Horizon,MSE,MAE,RMSE,R²
Informer,NASDAQ,50,0.0001614942739252001,0.009312930516898632,0.012708039954304695,-0.11494052410125732
Informer,NASDAQ,100,0.00016072549624368548,0.008940203115344048,0.012677756138145924,-0.05967748165130615
Informer,ABSA,3,0.00046215756447054446,0.016341013833880424,0.021497849375009537,-0.014929413795471191
Informer,ABSA,5,0.0004625672590918839,0.016387322917580605,0.021507376804947853,-0.00992274284362793
Informer,ABSA,10,0.00046725149150006473,0.01642748713493347,0.021616000682115555,-0.012076735496520996
Informer,ABSA,22,0.0004779828304890543,0.016613075509667397,0.021862817928195,-0.020194172859191895
Informer,ABSA,50,0.0004896881873719394,0.01693040505051613,0.02212889865040779,-0.006574153900146484
Informer,ABSA,100,0.0005177446873858571,0.017345886677503586,0.02275400422513485,-0.003315567970275879
Informer,SASOL,3,0.002315605292096734,0.03645557537674904,0.048120737075805664,-0.05111265182495117
Informer,SASOL,5,0.0023194162640720606,0.03637721762061119,0.04816031828522682,-0.045064568519592285
Informer,SASOL,10,0.0023188344202935696,0.036319833248853683,0.04815427586436272,-0.04466080665588379
Informer,SASOL,22,0.002349786926060915,0.03646017238497734,0.04847460240125656,-0.04708242416381836
Informer,SASOL,50,0.0024261882063001394,0.03831610456109047,0.049256350845098495,-0.1842212677001953
Informer,SASOL,100,0.0023024503607302904,0.03762837499380112,0.04798385500907898,-0.1602640151977539
Informer,DRD_GOLD,3,0.0009369231411255896,0.02168659120798111,0.03060919977724552,-0.010297298431396484
Informer,DRD_GOLD,5,0.0009413021034561098,0.02177039533853531,0.030680647119879723,-0.008040428161621094
Informer,DRD_GOLD,10,0.0009545984212309122,0.021958841010928154,0.03089657612144947,-0.0066814422607421875
Informer,DRD_GOLD,22,0.0009881820296868682,0.022448882460594177,0.03143536299467087,-0.03770112991333008
Informer,DRD_GOLD,50,0.0009464642498642206,0.021819746121764183,0.030764659866690636,-0.0164107084274292
Informer,DRD_GOLD,100,0.0009249575668945909,0.0214013010263443,0.03041311539709568,-0.023697257041931152
Informer,ANGLO_AMERICAN,3,0.0068316408433020115,0.056615062057971954,0.08265373855829239,-0.008376836776733398
Informer,ANGLO_AMERICAN,5,0.007057441398501396,0.05804368853569031,0.0840085819363594,-0.0007833242416381836
Informer,ANGLO_AMERICAN,10,0.007740939036011696,0.06125187873840332,0.08798260986804962,0.0009764432907104492
